ramp_id,sport_name,track,race_number,race_time,country,bf_uk_adj_revenue,bf_ie_adj_revenue,pp_uk_adj_revenue,pp_ie_adj_revenue,adj_revenue
9496118,Horse Racing,URAWA,3,2022-06-30 05:10:00,Japan,-7.3142,0.0,52.47,40.549,85.7048
9479849,Horse Racing,SAGA,10,2022-06-25 10:55:00,Japan,16.1934,0.0,27.8307,11.613,55.6371
9393084,Horse Racing,MIZUSAWA,8,2022-05-31 07:40:00,Japan,8.8266,0.0,27.8825,20.1797,56.8888
9455069,Horse Racing,KOCHI,5,2022-06-18 09:15:00,Japan,8.1,0.0,1.12,1.347,10.567
9424749,Horse Racing,OHI,10,2022-06-09 11:30:00,Japan,-0.6665,0.2732,-63.5428,4.417,-59.5191
9438190,Horse Racing,MIZUSAWA,3,2022-06-13 04:30:00,Japan,-4.5,0.0,12.0768,0.2227,7.7995
9463876,Horse Racing,KANAZAWA,6,2022-06-21 06:30:00,Japan,16.6064,0.4294,5.2548,0.7283,23.0189
9417341,Horse Racing,KANAZAWA,5,2022-06-07 06:00:00,Japan,0.874,0.0,60.4695,1.1204,62.4639
9395805,Horse Racing,URAWA,2,2022-06-01 04:50:00,Japan,2.6667,0.0,-63.7449,0.0001,-61.0781
9444833,Horse Racing,KASAMATSU,6,2022-06-15 06:35:00,Japan,6.13,0.0,27.8828,2.2607,36.2735
9403329,Horse Racing,SONODA,11,2022-06-03 11:55:00,Japan,11.2633,0.0,-4.0384,5.32,12.5449
9393034,Horse Racing,KANAZAWA,8,2022-05-31 08:15:00,Japan,22.7625,0.0,79.6043,8.3331,110.6999
9492043,Horse Racing,KASAMATSU,9,2022-06-29 07:20:00,Japan,14.7427,0.0,15.395,1.8114,31.9491
9417275,Horse Racing,MIZUSAWA,7,2022-06-07 07:35:00,Japan,2.575,0.0,17.2432,2.1186,21.9368
9424728,Horse Racing,NAGOYA,1,2022-06-09 02:55:00,Japan,9.88,0.0,175.3611,29.7708,215.0119
9420284,Horse Racing,SONODA,9,2022-06-08 07:05:00,Japan,0.1111,0.0,0.4699,-1.8991,-1.3181
9492037,Horse Racing,KASAMATSU,3,2022-06-29 04:00:00,Japan,5.0193,1.7058,-14.6943,5.6092,-2.36
9467758,Horse Racing,SONODA,12,2022-06-22 08:40:00,Japan,12.1142,0.0,-623.8431,25.5596,-586.1693
9444870,Horse Racing,KAWASAKI,5,2022-06-15 08:45:00,Japan,-8.2988,0.0,-20.5219,1.6753,-27.1454
9400260,Horse Racing,KASAMATSU,2,2022-06-02 03:30:00,Japan,5.4334,0.0654,-2.2925,0.3318,3.5381
9492036,Horse Racing,KASAMATSU,2,2022-06-29 03:30:00,Japan,-4.9407,0.0,-465.2073,5.896,-464.252
9441300,Horse Racing,MIZUSAWA,3,2022-06-14 05:10:00,Japan,8.18,0.0,31.0246,2.3469,41.5515
9488787,Horse Racing,OHI,11,2022-06-28 12:10:00,Japan,17.4566,0.8628,74.3987,2.9464,95.6645
9395803,Horse Racing,SONODA,12,2022-06-01 10:30:00,Japan,22.3903,0.0001,84.0572,37.2236,143.6712
9476102,Horse Racing,NAGOYA,2,2022-06-24 03:30:00,Japan,1.1858,0.0,40.5192,4.1066,45.8116
9427734,Horse Racing,NAGOYA,3,2022-06-10 04:10:00,Japan,5.07,0.0,-31.927,1.5154,-25.3416
9393067,Horse Racing,KOCHI,4,2022-05-31 08:25:00,Japan,26.49,8.5128,93.3928,13.6296,142.0252
9471676,Horse Racing,NAGOYA,5,2022-06-23 05:05:00,Japan,7.4543,0.0,-2.5605,1.6213,6.5151
9395809,Horse Racing,URAWA,6,2022-06-01 06:50:00,Japan,8.4942,0.0,-31.9393,5.7378,-17.7073
9407677,Horse Racing,TOKYO,5,2022-06-04 04:30:00,Japan,12.0,0.0,4.3517,35.0163,51.368
9438210,Horse Racing,KAWASAKI,9,2022-06-13 11:05:00,Japan,10.5007,0.0,149.5303,-30.7509,129.2801
9407678,Horse Racing,TOKYO,6,2022-06-04 05:00:00,Japan,2.65,0.0,-3.8509,16.8358,15.6349
9393027,Horse Racing,KANAZAWA,1,2022-05-31 03:45:00,Japan,1.1,0.0,114.6176,22.5178,138.2354
9432032,Horse Racing,TOKYO,1,2022-06-11 02:10:00,Japan,3.5242,0.0,5.7882,11.5272,20.8396
9417321,Horse Racing,OHI,8,2022-06-07 10:20:00,Japan,-4.4167,-3.1991,-37.4575,-17.0178,-62.0911
