evnt_start_time_x,mtng_date,mtng_venue_location,evnt_number,mtng_name,sport_name_x,Racecourse,Meeting Date,ramp_id,sport_name_y,evnt_start_time_y,country,commission,uk_commission,ie_commission,bf_uk_volume,bf_ie_volume,pp_uk_volume,pp_ie_volume,volume,_merge
2022-06-01 04:56:00,2022-06-01 00:00:00,VIC,1,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 05:11:00,2022-06-01 00:00:00,VIC,2,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 05:34:00,2022-06-01 00:00:00,VIC,3,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 05:55:00,2022-06-01 00:00:00,VIC,4,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 06:14:00,2022-06-01 00:00:00,VIC,5,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 06:32:00,2022-06-01 00:00:00,VIC,6,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 06:49:00,2022-06-01 00:00:00,VIC,7,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 07:12:00,2022-06-01 00:00:00,VIC,8,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 07:29:00,2022-06-01 00:00:00,VIC,9,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 07:48:00,2022-06-01 00:00:00,VIC,10,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
2022-06-01 08:04:00,2022-06-01 00:00:00,VIC,11,BENDIGO ,Greyhound Racing,BENDIGO,2022-06-01,,,,,,,,,,,,,left_only
