evnt_start_time_x,mtng_date,mtng_venue_location,evnt_number,mtng_name,sport_name,Racecourse,Meeting Date,ramp_id,evnt_start_time_y,country,commission,uk_commission,ie_commission,bf_uk_volume,bf_ie_volume,pp_uk_volume,pp_ie_volume,volume,_merge
,,,4,,Horse Racing,NEWCASTLE HARNESS,2022-06-17,9447094,2022-06-17 10:40:00,Australia,75.3653,64.9801,10.3852,38.9233,17.1306,93.9278,18.2374,168.2191,right_only
,,,1,,Horse Racing,KILMORE HARNESS,2022-06-21,9449399,2022-06-21 07:58:00,Australia,8.2388,8.2128,0.026,0.2571,0.1717,0.9947,2.9538,4.3773,right_only
,,,7,,Horse Racing,CAMBRIDGE SYNTHETIC,2022-06-29,9481211,2022-06-29 04:29:00,New Zealand,20.5187,17.1568,3.3619,3.4083,1.6612,53.6916,3.9541,62.7152,right_only
,,,5,,Horse Racing,GLOBE DERBY HARNESS,2022-06-18,9446758,2022-06-18 12:27:00,Australia,47.1617,34.8221,12.3396,32.8093,0.0,125.4775,3.9406,162.2274,right_only
,,,1,,Horse Racing,WARRNAMBOOL,2022-06-19,9449328,2022-06-19 02:35:00,Australia,37.2417,31.7836,5.4581,10.1925,17.1733,32.2149,259.4793,319.06,right_only
,,,2,,Horse Racing,NORTHAM HARNESS,2022-06-11,9424014,2022-06-11 11:24:00,Australia,60.0907,40.9584,19.1323,72.4284,4.6985,30.115,3.307,110.5489,right_only
,,,1,,Horse Racing,CRANBOURNE,2022-06-22,9462340,2022-06-22 03:25:00,Australia,87.5254,76.8141,10.7113,12.8892,2.2929,19.7844,1.0795,36.046,right_only
,,,4,,Horse Racing,BALAKLAVA,2022-06-08,9415060,2022-06-08 06:00:00,Australia,186.367,168.6832,17.6838,16.8805,0.0,268.3022,66.918,352.1007,right_only
,,,3,,Horse Racing,GLOUCESTER PARK HARNESS,2022-06-24,9467872,2022-06-24 11:23:00,Australia,75.7569,56.5134,19.2435,6.7575,0.0,238.0631,3.3699,248.1905,right_only
,,,10,,Horse Racing,KILMORE HARNESS,2022-06-21,9449408,2022-06-21 12:30:00,Australia,34.5711,34.305,0.2661,18.6253,0.8587,111.2688,25.969,156.7218,right_only
,,,8,,Horse Racing,SANDOWN,2022-06-11,9422426,2022-06-11 07:00:00,Australia,129.37,107.2244,22.1456,29.0377,15.5801,64.0577,46.8403,155.5158,right_only
,,,3,,Horse Racing,MORNINGTON,2022-06-13,9429622,2022-06-13 04:35:00,Australia,271.6781,256.812,14.8661,64.3358,0.4758,94.8456,31.7306,191.3878,right_only
,,,8,,Horse Racing,GLOBE DERBY HARNESS,2022-06-25,9471491,2022-06-25 13:42:00,Australia,27.2705,26.6775,0.593,1.3833,0.0,2.6325,0.2957,4.3115,right_only
,,,5,,Horse Racing,GLOUCESTER PARK HARNESS,2022-05-31,9380807,2022-05-31 12:36:00,Australia,190.402,165.1841,25.2179,40.4874,0.0,347.6805,41.4193,429.5872,right_only
,,,6,,Horse Racing,BATHURST HARNESS,2022-06-29,9478842,2022-06-29 10:40:00,Australia,47.8078,42.5082,5.2996,57.4809,8.8214,236.4542,14.1725,316.929,right_only
